Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,12882.2889730308,15772.7333950542,18045.5880994833,18784.9484992149,19821.4446268632,22780.0584505513,24815.6088356622,23063.9716141302,22539.9960076117,23194.7409567701,20577.4026375899,21618.7353389663,22124.3670925451,19222.9355983016,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,18972.7685297569,19820.2072870642,20988.9923326534,21959.3227075956,22935.9411493385,23664.8823530538,24898.3388400438,25768.7360476525,26435.7330836866,27278.8452337977,27811.5557986588,28703.7323699256,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,30523.4907717931,35221.5264325297,43346.8642555975,53207.3336473736,61593.6729672606,67612.4940409837,82990.0709631041,61463.9035819678,70870.2265835221,89115.9014908449,94407.406919562,96076.9963757655,96732.5290262219,74667.1970705737,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROM,2124.87361335835,2774.95580649052,3552.92451981742,4676.31518325954,5828.74566230123,8214.18537810177,10136.4735592475,8220.10832899514,8297.48362072379,9200.27782470489,8558.3976056224,9585.26659264653,10011.7859226299,8972.92251840971,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,2375.05904394498,2975.13277834925,4102.37229354879,5323.47387655593,6920.19439783608,9101.25670608893,11635.2742379874,8562.81369695399,10674.9972024184,14212.080885022,15154.4722788295,15543.6978380394,13902.1428503026,9057.11306037766,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,196.444701506894,212.512051945623,236.629214231627,286.567469436844,336.942281040072,398.208485880314,491.940416607734,529.59655617758,553.597457610684,606.902886399677,667.414582334439,678.998166944053,697.626501273706,697.34822808289,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,1631.32464343264,1907.04840456803,2350.86287212903,2587.52400015871,2793.54311999082,3130.35259752319,3375.82163966041,3173.54224035921,3530.57399435316,4065.9559198279,4257.30572854147,4179.59768103648,4172.21710037661,3938.54884570316,..
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,31268.4674125473,39375.2287992645,45597.515995166,47035.6543494594,49682.0936590572,56489.5013763457,62993.3672242481,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,562.826236986443,658.280139873987,703.662556707006,824.01215982958,858.587830979996,911.057012002955,1158.93080120022,1151.69196455042,1142.18231129529,1374.13192098877,1488.04800312555,1675.74756929312,1810.72156164921,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,8317.90857478937,9186.31038843539,10756.0162185009,13273.6534986384,14826.9166983811,15947.4057864239,19436.8571597589,15655.0833675338,18753.9812332079,23256.0956126438,24883.1897146534,24646.0208730264,24406.4678217219,20481.7453220484,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,513.391832823518,642.62599454528,732.318105590343,772.652445373662,808.288423856573,948.506759183885,1094.57647618577,1018.38955121693,998.119695502128,1081.13151800024,1019.27223025869,1051.37642128639,1067.131753327,910.788687979603,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,2149.90940418511,2832.49065230846,3331.22876560602,3528.13100775792,4129.75874102829,5458.12171842169,6701.77391278013,5821.30539705684,5411.87740391911,6423.29178334583,5659.38020403691,6353.82638279332,6200.17322102474,5143.94992561858,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,8333.55135215272,8523.00502466624,10173.5748760331,11086.8908871587,12014.3998729502,12154.8299372808,11122.8620677142,9706.95605963959,10804.6844747547,12189.0951601357,12845.17363161,15695.8983393592,15563.7942183676,15476.01944443,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,280.181171383013,295.079775075248,293.854506621956,320.995366803008,359.533713835212,400.380937064879,453.736365506084,440.924459684123,453.022040727552,505.263716987032,637.652208819478,802.535625496596,792.583550409334,693.408045666733,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,22016.8327916368,23573.6280388506,27405.2713554901,29869.8539805446,33579.8594757016,39223.5818748702,39721.0481819946,38577.5582156126,46569.6795060716,53093.6701495192,54451.210333388,55617.6125035777,56007.288209027,52888.7446717529,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,6524.86187815598,8696.91324191405,10654.7937072937,11631.3545704906,13100.3652701628,16014.5986924985,18604.3192257127,16460.221106911,16554.8787976196,18138.7234166753,17207.2784936729,18108.5217487811,18501.4296155336,15962.5722388828,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,11814.1020929149,14880.4689893241,17260.9023870701,18169.1797892301,19726.1257457623,23841.3238874423,27501.8175169953,24633.7960813766,23438.8471646302,24983.6937254464,22477.6038085909,23144.1167154096,24001.880133688,20713.0747463331,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,785.625558493349,745.457187325512,819.301229686325,881.964778515343,950.057695088818,1048.77148597216,1208.34419558516,1161.22880991606,1276.34851310464,1648.85412726975,1866.70724550977,1890.00090280273,2024.20286123362,1982.26968977846,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,521.223039343867,542.615883955694,551.862668608739,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,2540.97122196625,3807.11574558683,4901.12131648889,5453.19281403646,5668.38677090783,6161.21795130613,5817.27839029952,5916.25435738104,7392.86875227427,8081.41717532479,7590.0284383506,6881.79474218603,6472.10102734624,5691.68676962801,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..,..,..,..,..,..,1688.65404688853,1271.0317282658,1563.90419536662,1696.14566722172,944.282811578363,1157.48695804411,1115.09351496025,730.580100916022,..
