Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Congo, Rep.",COG,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Costa Rica,CRI,359.81752688172,398.662222222222,437.935,477.786741487455,511.301817940348,516.617390232975,526.23551344086,573.287956733231,525.829200716846,505.664239919355,502.901461981567,499.766832565284,538.317200279058,534.565769969278,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cote d'Ivoire,CIV,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Croatia,HRV,7.8716825,6.70496883333333,6.03434066666667,5.94923691666667,5.83779325,5.36453566666667,4.93503975,5.28394641666667,5.49801058333333,5.34386975,5.85029183333333,5.70488016666667,5.74816541666667,6.85830375,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Curacao,CUW,..,..,..,..,..,..,..,..,1.79,1.79,1.79,1.79,1.79,1.79,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cyprus,CYP,0.610659989666667,0.517443261666667,0.46860055225,0.464070507161667,0.458915946916667,0.426125,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Czech Republic,CZE,32.7385183333333,28.209,25.69975,23.9574166666667,22.5955833333333,20.2936666666667,17.0716666666667,19.063,19.09825,17.6959166666667,19.5775,19.5705833333333,20.7575,24.59875,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Denmark,DNK,7.89471416666667,6.58767333333333,5.99105666666667,5.99691,5.94677833333333,5.44370083333333,5.09813083333333,5.36086666666667,5.624075,5.36871153508772,5.79247553703916,5.61631168617622,5.61246666666667,6.7279068312963,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Djibouti,DJI,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.720833333333,177.72,..
